viewLabel,viewSize,viewColor
AFG,"100,100,100","255,255,10,255"
AUS,"100,100,100","255,255,10,255"
CHN,"100,100,100","255,255,10,255"
DEU,"100,100,100","255,255,10,255"
EGY,"100,100,100","255,255,10,255"
FRA,"100,100,100","255,255,10,255"
GBR,"100,100,100","255,255,10,255"
GEO,"100,100,100","255,255,10,255"
IND,"100,100,100","255,255,10,255"
IRN,"100,100,100","255,255,10,255"
IRQ,"100,100,100","255,255,10,255"
ISR,"100,100,100","255,255,10,255"
JPN,"100,100,100","255,255,10,255"
KOR,"100,100,100","255,255,10,255"
LBN,"100,100,100","255,255,10,255"
PAK,"100,100,100","255,255,10,255"
PRK,"100,100,100","255,255,10,255"
PSE,"100,100,100","255,255,10,255"
RUS,"100,100,100","255,255,10,255"
SDN,"100,100,100","255,255,10,255"
SYR,"100,100,100","255,255,10,255"
TUR,"100,100,100","255,255,10,255"
TWN,"100,100,100","255,255,10,255"
UKR,"100,100,100","255,255,10,255"
